supply_mult,demand_mult,imbalance,edge_pct,agent_pnl_usd,side,profitable
0.5,1.9000000000000004,-0.9947055604822028,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,2.0000000000000004,-0.9944269057707399,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,2.1000000000000005,-0.9941482510592768,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.5,2.2,-0.9938695963478138,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.4,-0.99907115096179,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.5,-0.9988389387022375,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.6000000000000001,-0.998606726442685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.7000000000000001,-0.9983745141831325,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.8,-0.99814230192358,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,0.9000000000000001,-0.9979100896640275,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.0,-0.997677877404475,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.1,-0.9974456651449224,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.2000000000000002,-0.9972134528853699,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.3000000000000003,-0.9969812406258174,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.4000000000000004,-0.9967490283662649,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.5000000000000004,-0.9965168161067124,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.6,-0.9962846038471599,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.7000000000000002,-0.9960523915876074,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.8000000000000003,-0.9958201793280549,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,1.9000000000000004,-0.9955879670685024,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,2.0000000000000004,-0.9953557548089499,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,2.1000000000000005,-0.9951235425493974,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.6000000000000001,2.2,-0.9948913302898449,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.4,-0.9992038436815343,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.5,-0.9990048046019179,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.6000000000000001,-0.9988057655223014,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.7000000000000001,-0.998606726442685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.8,-0.9984076873630685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,0.9000000000000001,-0.9982086482834521,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.0,-0.9980096092038356,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.1,-0.9978105701242193,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.2000000000000002,-0.9976115310446028,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.3000000000000003,-0.9974124919649864,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.4000000000000004,-0.9972134528853699,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.5000000000000004,-0.9970144138057535,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.6,-0.996815374726137,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.7000000000000002,-0.9966163356465206,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.8000000000000003,-0.9964172965669043,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,1.9000000000000004,-0.9962182574872878,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,2.0000000000000004,-0.9960192184076714,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,2.1000000000000005,-0.9958201793280549,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.7000000000000001,2.2,-0.9956211402484385,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.4,-0.9993033632213425,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.5,-0.9991292040266782,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.6000000000000001,-0.9989550448320137,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.7000000000000001,-0.9987808856373493,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.8,-0.998606726442685,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,0.9000000000000001,-0.9984325672480205,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,1.0,-0.9982584080533562,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,1.1,-0.9980842488586918,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,1.2000000000000002,-0.9979100896640275,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
0.8,1.3000000000000003,-0.997735930469363,-14.617190689283854,4.797955068723904,buy_protocol_sell_market,True
