venue,symbol,underlying,quote_ccy,option_type,strike,expiry_utc,T_years,spot,mark,bid,ask,iv,oi,volume,raw_timestamp_utc,fetch_timestamp_utc,mid,ba_spread_pct,intrinsic_put,intrinsic_call,below_intrinsic_flag
lyra,SOL-20260417-83-C,SOL,USD,call,83.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,3.8,250.0,250.0,0.5717,5.0,415.817,2026-04-14T09:13:24.271000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,3.200000000000003,False
lyra,SOL-20260417-115-P,SOL,USD,put,115.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,28.7,0.0,0.0,0.71282,0.0,0.0,2026-04-14T09:13:24.673000+00:00,2026-04-14T09:13:00.836635+00:00,,,28.799999999999997,,True
lyra,SOL-20260417-88-P,SOL,USD,put,88.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,2.6,250.0,250.0,0.54215,0.0,0.0,2026-04-14T09:13:30.793000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,1.7999999999999972,,False
lyra,SOL-20260417-81-C,SOL,USD,call,81.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,5.5,0.0,0.0,0.5874,0.0,0.0,2026-04-14T09:13:31.702000+00:00,2026-04-14T09:13:00.836635+00:00,,,,5.200000000000003,False
lyra,SOL-20260417-80-C,SOL,USD,call,80.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,6.4,0.0,0.0,0.59527,38.5,0.0,2026-04-14T09:13:23.157000+00:00,2026-04-14T09:13:00.836635+00:00,,,,6.200000000000003,False
lyra,SOL-20260417-96-P,SOL,USD,put,96.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,9.7,0.0,0.0,0.6306,0.0,0.0,2026-04-14T09:13:24.473000+00:00,2026-04-14T09:13:00.836635+00:00,,,9.799999999999997,,True
lyra,SOL-20260417-79-C,SOL,USD,call,79.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,7.3,0.0,0.0,0.60315,0.0,0.0,2026-04-14T09:13:23.717000+00:00,2026-04-14T09:13:00.836635+00:00,,,,7.200000000000003,False
lyra,SOL-20260417-94-C,SOL,USD,call,94.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,0.1,0.0,0.0,0.60934,0.0,0.0,2026-04-14T09:13:25.180000+00:00,2026-04-14T09:13:00.836635+00:00,,,,0.0,False
lyra,SOL-20260417-74-C,SOL,USD,call,74.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,12.2,0.0,0.0,0.64263,0.0,0.0,2026-04-14T09:13:25.976000+00:00,2026-04-14T09:13:00.836635+00:00,,,,12.200000000000003,False
lyra,SOL-20260417-65-C,SOL,USD,call,65.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,21.2,0.0,0.0,0.66616,0.0,0.0,2026-04-14T09:13:24.324000+00:00,2026-04-14T09:13:00.836635+00:00,,,,21.200000000000003,False
lyra,SOL-20260417-92-P,SOL,USD,put,92.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,5.9,0.0,0.0,0.58692,0.0,0.0,2026-04-14T09:13:23.866000+00:00,2026-04-14T09:13:00.836635+00:00,,,5.799999999999997,,False
lyra,SOL-20260417-80-P,SOL,USD,put,80.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,0.1,0.0,0.0,0.59527,2.0,0.0,2026-04-14T09:13:23.967000+00:00,2026-04-14T09:13:00.836635+00:00,,,0.0,,False
lyra,SOL-20260417-105-P,SOL,USD,put,105.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,18.7,0.0,0.0,0.71282,0.0,0.0,2026-04-14T09:13:32.153000+00:00,2026-04-14T09:13:00.836635+00:00,,,18.799999999999997,,True
lyra,SOL-20260417-85-P,SOL,USD,put,85.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,1.1,250.0,250.0,0.55619,0.0,0.0,2026-04-14T09:13:31.298000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,0.0,,False
lyra,SOL-20260417-90-C,SOL,USD,call,90.0,2026-04-17T00:00:00+00:00,0.007167020654648655,86.2,0.5,250.0,250.0,0.56343,7.9,0.0,2026-04-14T09:13:24.572000+00:00,2026-04-14T09:13:00.836635+00:00,250.0,0.0,,0.0,False
