week,imbalance,protocol_per_cap,market_per_cap,rel_edge,trade_notional,side,agent_pnl,cum_pnl,imb_bucket
46,-0.9978375518633057,0.35355216838609216,0.3,0.1785072279536406,180.0723013602834,sell_protocol_buy_market,8.02261149187448,250.82525973887408,strong_supply
47,-0.9983942552235723,0.3531740998081601,0.3,0.17724699936053367,189.14103752285374,sell_protocol_buy_market,8.355135069353501,259.18039480822756,strong_supply
48,-0.9988397438043347,0.34059338310386683,0.3,0.13531127701288947,202.87186446252528,sell_protocol_buy_market,6.40940853496031,265.5898033431879,strong_supply
49,-0.9989979288929396,0.3201858311871221,0.3,0.0672861039570738,200.4142214120846,sell_protocol_buy_market,2.2417996482140974,267.831602991402,strong_supply
50,-0.9989984537997403,0.2839759637366322,0.3,-0.05341345421122601,200.30924005194976,buy_protocol_sell_market,0.80605164585669,268.6376546372587,strong_supply
51,-0.9971944948376207,0.27389740452787004,0.3,-0.08700865157376647,219.37717128108488,buy_protocol_sell_market,3.093787502397305,271.731442139656,strong_supply
52,-0.9982932006712641,0.27611520711188764,0.3,-0.07961597629370787,217.47065464248954,buy_protocol_sell_market,2.584593689668196,274.31603582932416,strong_supply
53,-0.9987614648161249,0.2612253577642009,0.3,-0.12924880745266354,216.4935458837041,buy_protocol_sell_market,5.796537237395727,280.1125730667199,strong_supply
54,-0.9988003848223735,0.2719346322564109,0.3,-0.09355122581196362,204.33171170397983,buy_protocol_sell_market,3.2826640902014623,283.3952371569214,strong_supply
55,-0.9978704598249036,0.26423313977848323,0.3,-0.11922286740505583,209.43756545867583,buy_protocol_sell_market,4.977673343391116,288.3729105003125,strong_supply
56,-0.998112344500016,0.25928224042609793,0.3,-0.13572586524634023,199.7124418575222,buy_protocol_sell_market,5.735293889181216,294.1082043894937,strong_supply
57,-0.9977894339186428,0.2821379192492183,0.3,-0.05954026916927224,197.76409275756816,buy_protocol_sell_market,1.1593090813499396,295.26751347084365,strong_supply
58,-0.9982548824662721,0.29077244706826544,0.3,-0.03075850977244854,203.7097375218793,buy_protocol_sell_market,-0.5647744645696584,294.702739006274,strong_supply
59,-0.9987965651246152,0.2729742057554613,0.3,-0.09008598081512909,206.8111458851796,buy_protocol_sell_market,3.1075017255479875,297.810240731822,strong_supply
60,-0.9985450281001585,0.2661472581866091,0.3,-0.11284247271130288,217.45037394677348,buy_protocol_sell_market,4.751886879084139,302.5621276109061,strong_supply
61,-0.9972469678202341,0.2721458219452345,0.3,-0.09284726018255163,227.14406287892564,buy_protocol_sell_market,3.601182416965332,306.16331002787143,strong_supply
62,-0.9987598930655308,0.2620494525207013,0.3,-0.1265018249309957,219.8228946185227,buy_protocol_sell_market,5.704524463834851,311.8678344917063,strong_supply
63,-0.9980338112078959,0.27854696894018105,0.3,-0.0715101035327298,213.9759947251987,buy_protocol_sell_market,2.022721724192957,313.8905562158992,strong_supply
64,-0.9979098669872398,0.30162268628805644,0.3,0.005408954293521617,234.27902212366536,none,0.0,313.8905562158992,strong_supply
65,-0.9980408795929027,0.307750890222955,0.3,0.025836300743183438,226.2318141643118,none,0.0,313.8905562158992,strong_supply
66,-0.9972558251311922,0.3383862026057362,0.3,0.12795400868578732,235.0691201531023,sell_protocol_buy_market,6.907788791171215,320.79834500707045,strong_supply
67,-0.9983395628150145,0.3307820079590022,0.3,0.10260669319667404,239.60251629415217,sell_protocol_buy_market,5.21902391691618,326.0173689239866,strong_supply
68,-0.9987173705431368,0.3243345155059019,0.3,0.0811150516863397,247.00247839451114,sell_protocol_buy_market,3.7876633349368385,329.80503225892346,strong_supply
69,-0.9985670316903649,0.3008772609815477,0.3,0.0029242032718257427,258.235376107417,none,0.0,329.80503225892346,strong_supply
70,-0.99830088543435,0.2633207005591566,0.3,-0.12226433146947802,240.04932467100735,buy_protocol_sell_market,5.924249164128032,335.7292814230515,strong_supply
71,-0.9969893825106666,0.2916771396109215,0.3,-0.02774286796359493,245.901339896649,none,0.0,335.7292814230515,strong_supply
72,-0.9979234428549909,0.29130396644114576,0.3,-0.028986778529514146,249.7227688690575,none,0.0,335.7292814230515,strong_supply
73,-0.9969370445214375,0.3544646533571642,0.3,0.18154884452388065,229.7708948023428,sell_protocol_buy_market,10.44645408375396,346.17573550680544,strong_supply
74,-0.9988924238401432,0.3354379348054191,0.3,0.11812644935139716,221.51523197136703,sell_protocol_buy_market,5.856405261266296,352.0321407680717,strong_supply
75,-0.998851119510467,0.33001106192723656,0.3,0.10003687309078857,229.77609790660574,sell_protocol_buy_market,4.827839822514467,356.8599805905862,strong_supply
76,-0.9980947844278395,0.35440532477868597,0.3,0.18135108259561994,210.2476084514201,sell_protocol_buy_market,9.546360945678732,366.4063415362649,strong_supply
77,-0.9981072738948605,0.3075887309010667,0.3,0.02529576967022229,204.41917765805266,none,0.0,366.4063415362649,strong_supply
78,-0.9983494563480524,0.3206281098061367,0.3,0.06876036602045565,193.0857116802603,sell_protocol_buy_market,2.245221857414122,368.651563393679,strong_supply
79,-0.9987307001375223,0.31577556130448753,0.3,0.052585204348291725,197.3052366969547,sell_protocol_buy_market,1.3368537269366412,369.9884171206156,strong_supply
80,-0.9981314805177257,0.3220460528703139,0.3,0.07348684290104646,198.49168448934216,sell_protocol_buy_market,2.5895330101656264,372.57795013078123,strong_supply
81,-0.9989086242739169,0.29118707933942617,0.3,-0.029376402201912732,192.65897252072975,none,0.0,372.57795013078123,strong_supply
82,-0.9990660358421288,0.2707638949739332,0.3,-0.09745368342022254,183.20597862810357,buy_protocol_sell_market,3.157757489037337,375.7357076198186,strong_supply
83,-0.9986865107279941,0.25709558121621784,0.3,-0.14301472927927383,182.5834489334251,buy_protocol_sell_market,5.6426353688258715,381.3783429886445,strong_supply
84,-0.9990791813031197,0.2437416388791089,0.3,-0.18752787040297025,184.16373937606224,buy_protocol_sell_market,8.150785282679433,389.5291282713239,strong_supply
85,-0.9983601709426879,0.21140567344030506,0.3,-0.2953144218656498,192.6029612866507,buy_protocol_sell_market,14.752294113154003,404.2814223844779,strong_supply
86,-0.9984882411020745,0.20704241066909906,0.3,-0.30985863110300305,199.855983699589,buy_protocol_sell_market,16.179858653674554,420.46128103815244,strong_supply
87,-0.9979999306067306,0.2259476140363566,0.3,-0.246841286545478,187.73514333408022,buy_protocol_sell_market,11.649413573106258,432.1106946112587,strong_supply
88,-0.9981549708905971,0.2529949000712123,0.3,-0.15668366642929232,184.60335531196617,buy_protocol_sell_market,6.4620588998848785,438.57275351114356,strong_supply
89,-0.9983724247887337,0.29741282521886636,0.3,-0.008623915937112092,158.19992940850352,none,0.0,438.57275351114356,strong_supply
90,-0.9980729362714165,0.35096158349040785,0.3,0.16987194496802616,146.89957325046709,sell_protocol_buy_market,6.164138707654759,444.73689221879835,strong_supply
91,-0.9990620936045953,0.3461542666171609,0.3,0.15384755539053652,149.02937976840659,sell_protocol_buy_market,5.5370773097055075,450.27396952850387,strong_supply
92,-0.9988106242921535,0.3589443588829132,0.3,0.1964811962763775,154.83101563039384,sell_protocol_buy_market,7.7329358108503365,458.0069053393542,strong_supply
93,-0.9991717031612886,0.3437412001829248,0.3,0.1458040006097494,157.29326918406116,sell_protocol_buy_market,5.464556952150149,463.47146229150434,strong_supply
94,-0.9990535763807844,0.29129608530290035,0.3,-0.02901304899033208,153.53589913919132,none,0.0,463.47146229150434,strong_supply
95,-0.9988092321524892,0.28370657133959415,0.3,-0.05431142886801943,156.57926544487674,buy_protocol_sell_market,0.6722619058863275,464.14372419739067,strong_supply
96,-0.9989400920327801,0.2734338201615548,0.3,-0.08855393279481727,157.9371841807366,buy_protocol_sell_market,2.300541427954247,466.44426562534494,strong_supply
97,-0.9989196697953943,0.24957488777012754,0.3,-0.16808370743290812,148.67770832295466,buy_protocol_sell_market,5.712957628389773,472.15722325373474,strong_supply
98,-0.998502552504487,0.2562270734352847,0.3,-0.14590975521571758,149.9656706980386,buy_protocol_sell_market,4.764848242317052,476.9220714960518,strong_supply
