alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,lp_mean_%,lp_med_%,rt_mean_%,rt_cap_growth_%,premium_over_fv_mean,viable
0.1,0.3,0.1,0.34,0.12,0.6,-0.32275625244271205,1.2093591677299098,0.14787715092812304,15.695397769523979,0.8904294916056694,False
0.1,0.3,0.1,0.34,0.12,0.7,-0.2687052765824006,1.2346418017563106,0.15119621339198147,16.105396496960324,0.8635140922956894,False
0.1,0.3,0.1,0.34,0.12,0.8,-0.3838920789284072,1.1469864939871743,0.1522631853003875,16.168819785018542,0.872835686295448,False
0.1,0.3,0.1,0.34,0.15,0.6,-0.4292641155985908,1.0897046431507982,0.15201305216770003,16.177497603864822,0.8812642921014396,False
0.1,0.3,0.1,0.34,0.15,0.7,-0.4423332905280502,1.0777325270879365,0.15125232712447734,16.05152181605318,0.8822844542947225,False
0.1,0.3,0.1,0.34,0.15,0.8,-0.42280080787041224,1.0897046431507986,0.1462226780977574,15.582483052729913,0.8821309895387484,False
0.1,0.3,0.18,0.1,0.05,0.6,-0.1397828807747968,1.3754244357827183,0.14491891131985984,15.291062268389277,0.8721607084375479,False
0.1,0.3,0.18,0.1,0.05,0.7,-0.1924952746232439,1.3754244357827183,0.14523613117045556,15.39804764985222,0.8531683267439308,False
0.1,0.3,0.18,0.1,0.05,0.8,-0.17563703934562633,1.3754244357827112,0.14559965682503484,15.429459965214498,0.8912880386691706,False
0.1,0.3,0.18,0.1,0.08,0.6,-0.24065867319622097,1.3259244357827187,0.14558894995303232,15.456819557365776,0.890379681057227,False
0.1,0.3,0.18,0.1,0.08,0.7,-0.22454526764402963,1.3259373725223031,0.14913983964814492,15.923053970545809,0.8728336605906812,False
0.1,0.3,0.18,0.1,0.08,0.8,-0.2508903490344695,1.3259309041525063,0.14146288911504448,15.026417499346746,0.882580459603509,False
0.1,0.3,0.18,0.1,0.12,0.6,-0.30797884173921597,1.209359167729911,0.1536830073005827,16.27272939684201,0.8729390410980462,False
0.1,0.3,0.18,0.1,0.12,0.7,-0.2773507322040459,1.1906482701261094,0.15304882948598708,16.278720990271257,0.8816657929921665,False
0.1,0.3,0.18,0.1,0.12,0.8,-0.27639348423710913,1.1594619332547418,0.15083489268998124,16.044710860676048,0.8275645597771526,False
0.1,0.3,0.18,0.1,0.15,0.6,-0.39507929904668776,1.0855501185716867,0.15529920888642063,16.682488834933086,0.9087839419931396,False
0.1,0.3,0.18,0.1,0.15,0.7,-0.2435191958962061,1.0938591677299117,0.14990827508003407,15.945691355948433,0.8901675053302127,False
0.1,0.3,0.18,0.1,0.15,0.8,-0.4500107327886375,1.0897046431507982,0.15306846849815778,16.25011569098853,0.8641723392734837,False
0.1,0.3,0.18,0.22,0.05,0.6,0.0051134350366244885,1.4601482701261073,0.14536264651893466,15.382195294829382,0.8816914345152387,True
0.1,0.3,0.18,0.22,0.05,0.7,-0.08204763941667594,1.4164864939871746,0.1477570379612397,15.726928744346269,0.873212183937544,False
0.1,0.3,0.18,0.22,0.05,0.8,-0.13230152126891062,1.4164864939871746,0.1478140108389991,15.641901435323247,0.9087839419931396,False
0.1,0.3,0.18,0.22,0.08,0.6,-0.22384333391230088,1.344648270126108,0.14646218641231887,15.516296903375281,0.8801655764376007,False
0.1,0.3,0.18,0.22,0.08,0.7,-0.15779085623587275,1.3259309041525136,0.14990552501100085,15.84028743407373,0.8989363345610007,False
0.1,0.3,0.18,0.22,0.08,0.8,-0.21113485460224346,1.3259244357827187,0.14835629235871528,15.873228000053974,0.9087839419931396,False
0.1,0.3,0.18,0.22,0.12,0.6,-0.3202791388763963,1.2093591677299098,0.1491596475319508,15.871964200321198,0.8908390489471268,False
0.1,0.3,0.18,0.22,0.12,0.7,-0.39179246165500686,1.1185501185716917,0.15050706025499125,15.996845960792182,0.8727243281267785,False
0.1,0.3,0.18,0.22,0.12,0.8,-0.386387279391769,1.159461933254739,0.14387565621795756,15.365686501569108,0.882276769143474,False
0.1,0.3,0.18,0.22,0.15,0.6,-0.4003843918993123,1.085550118571697,0.14827534345899335,15.729858638549388,0.8731555696161509,False
0.1,0.3,0.18,0.22,0.15,0.7,-0.3247865521992952,1.0699149356041864,0.15152891689599812,16.025001663249228,0.8729860862039113,False
0.1,0.3,0.18,0.22,0.15,0.8,-0.3405686340136516,1.0897046431507982,0.15168348167928408,16.129758471686607,0.8989363345610009,False
