lp_mean_%,lp_med_%,rt_mean_%,rt_p5_%,m_vol_mean,m_amm_mean,imbalance_mean,imbalance_p95,alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,strict_feasible,robust_feasible,score
0.9222463808923612,0.8752729351071407,0.00893421524163203,-0.013664215816180299,1.227948838085718,0.75,-0.997331171354077,-0.9957516492686863,0.2,0.2,0.3,0.2,0.15,0.6,True,True,0.42750175285584746
0.9275232130917284,1.248789726368066,0.008064627557105606,-0.028852844151404197,1.185447761007849,0.75,-0.9971227372295874,-0.9958770102147899,0.1,0.2,0.2,0.2,0.1,0.7,True,True,0.4256596284996934
0.9035767378285332,0.9207822998003384,0.008907807700632469,-0.006269870560591419,1.3334922344801703,0.75,-0.998231997266639,-0.9971632585752317,0.2,0.3,0.3,0.2,0.15,0.6,True,True,0.4117581588450555
0.9052265583164367,1.0556731438265865,0.004976685719054141,-0.013182453760671389,1.1913455394188242,0.75,-0.9988253610443686,-0.9981620826944952,0.1,0.2,0.2,0.1,0.05,0.8,True,True,0.40592559967503317
0.9145990286844232,0.8379470430722723,0.004753223549751781,-0.04283520567827591,1.1548943070107545,0.75,-0.9969123132502418,-0.9945446187749293,0.1,0.4,0.1,0.2,0.05,0.7,True,True,0.40316881467281496
0.899350618788402,0.9037345227328764,0.006220858824901127,-0.01300680474357362,1.1496368500177176,0.75,-0.9982317583947434,-0.997107323177144,0.1,0.4,0.2,0.2,0.1,0.7,True,True,0.40161292748085387
0.9006597740325597,1.1960003094150788,0.0016137881927029897,-0.024333176619839723,1.1540280319593594,0.75,-0.9979128301669166,-0.9963700742400302,0.1,0.4,0.2,0.2,0.1,0.6,True,True,0.39286304921586734
0.8892003755765281,1.2073774644615736,0.0021352235480504404,-0.017524026502476454,1.1282541925284622,0.75,-0.9982214822902088,-0.996838922224418,0.1,0.3,0.3,0.1,0.15,0.7,True,True,0.384753033233198
0.8909029311796182,0.9171068752158429,-0.0005721508065290972,-0.016024661022125408,1.1462790967191272,0.75,-0.9987648723637392,-0.9975689220869021,0.1,0.3,0.2,0.1,0.05,0.6,False,False,0.3838064858029331
0.8562947720683856,1.2797018399949454,0.003957526465176847,-0.0130973959298156,1.153540793808032,0.75,-0.9983991971183112,-0.9969428556685368,0.1,0.4,0.1,0.2,0.1,0.6,True,True,0.3558048454546715
0.8464662653769519,0.926531347613285,0.007175525014442589,-0.017305679371766722,1.1695099849249893,0.75,-0.9977742812627535,-0.9957348904583164,0.1,0.2,0.3,0.1,0.15,0.6,True,True,0.34815462364557626
0.8384136650235479,0.6361390694932478,0.003565284054707147,-0.019396055213180125,1.1339873128544147,0.75,-0.998198545458888,-0.9967427980822782,0.1,0.4,0.3,0.1,0.05,0.6,True,True,0.33493358380392446
0.8265087861757772,1.0038664207718504,0.0027368072133962433,-0.01528978094114585,1.1834195795138562,0.75,-0.9982286145390978,-0.9963848225562157,0.1,0.2,0.2,0.1,0.15,0.6,True,True,0.3236770424553943
0.5628487091161084,0.5310673837323852,0.006385717568813735,-0.018516828945968355,1.152025149574903,0.8007411396790615,-0.9975271646508124,-0.9956144829568144,0.1,0.4,0.1,0.1,0.1,0.6,True,True,0.3168105370156049
0.8041071219512773,0.9351629829063379,0.010292833858785145,-0.014878606376525874,1.3439365760089401,0.75,-0.9976272539616814,-0.9958167520821064,0.2,0.4,0.2,0.2,0.15,0.6,True,True,0.3105070800312092
0.8090274842243672,1.2947460996985536,0.0037689576284796206,-0.015541154965470608,1.1882263858637832,0.75,-0.9983149211199488,-0.9974122802145604,0.1,0.2,0.1,0.2,0.15,0.7,True,True,0.3073337713923545
0.807354079135995,1.2675336368815622,0.006665084056182718,-0.026856423244458187,1.1543803056492399,0.75,-0.9977135650609239,-0.9962576949016788,0.1,0.4,0.2,0.2,0.1,0.8,True,True,0.304609610705631
0.8120019171053869,0.9288644358118711,0.0021450059485986876,-0.03178018926930297,1.1526401605583882,0.75,-0.9972383878598093,-0.9951492236554346,0.1,0.4,0.2,0.2,0.15,0.6,True,True,0.30186384853598425
0.7806871834851169,1.032769187929755,0.007057283625067185,-0.022577028864512835,1.151602017633315,0.75,-0.9975677397010023,-0.9960783810293223,0.1,0.3,0.3,0.2,0.05,0.8,True,True,0.2801251122893924
0.7287204555018496,1.0523509604906442,0.004487896028458922,-0.03274094709888267,1.1401751973329795,0.75,-0.9978629157310486,-0.9959662693791799,0.1,0.4,0.2,0.1,0.15,0.7,True,True,0.22100955189644722
0.7151855601124492,1.0490799525679644,0.0019670582570293954,-0.02015776662950856,1.1445257612635524,0.75,-0.9981557793926216,-0.9970860154180161,0.1,0.3,0.3,0.2,0.1,0.7,True,True,0.20948292336908103
0.697143386946051,1.306608320242983,0.00355873111082538,-0.013111178368250615,1.160067773266213,0.75,-0.9987822591587824,-0.997792940071587,0.1,0.3,0.2,0.2,0.1,0.7,True,True,0.1961693929317413
0.7009252954173637,0.6622848311615425,0.006145213668342312,-0.04294014317982096,1.1607667834688455,0.75,-0.9978006550357452,-0.9958141122623014,0.1,0.3,0.3,0.2,0.1,0.8,True,True,0.19112349454744604
0.6940097344492945,0.8536725358493672,0.002190920885752911,-0.01634468860817476,1.1629608127024937,0.75,-0.9987326359795128,-0.998161440382294,0.1,0.4,0.3,0.2,0.1,0.8,True,True,0.19010096406892807
0.698429426908738,1.353184988455024,-0.00016876752994986327,-0.02624257652750676,1.1532290248675525,0.75,-0.9985888637500308,-0.9973849703007597,0.1,0.4,0.3,0.1,0.1,0.8,False,False,0.1877298752617954
0.42863873177955303,0.6590913384183539,0.00260410929585175,-0.01466639877352556,1.1398715012603657,0.8004008903276498,-0.9986629738481883,-0.9971941448711988,0.1,0.4,0.1,0.1,0.15,0.7,True,True,0.177901555063414
0.40643612852707667,0.2579150905650622,0.004623714050088698,-0.012809590923229622,1.3109796066968773,0.8005956610391413,-0.9980129909553347,-0.9968871656744338,0.2,0.4,0.1,0.1,0.15,0.6,True,True,0.15983905421359748
0.6622458732484082,0.5457000685979736,0.004179244000526685,-0.021714033178474312,1.3633054555965844,0.75,-0.9976541989803883,-0.9954365180903597,0.2,0.2,0.2,0.1,0.15,0.6,True,True,0.15857535277765056
0.6544794471185974,1.029576466358542,0.007468186714607257,-0.013303279086145068,1.3530363424151202,0.75,-0.9977062560278683,-0.9962123935264852,0.2,0.2,0.2,0.1,0.05,0.6,True,True,0.15811995954166802
0.6623370561828491,0.5633302214251776,0.0016583203444403543,-0.02473421792187112,1.181562352450828,0.75,-0.99763817765426,-0.9948782189747826,0.1,0.2,0.2,0.1,0.05,0.6,True,True,0.15443335342742903
0.6439439949685304,0.798396785156751,0.011269628097202656,-0.04091819970202302,1.318089175366643,0.75,-0.9969224044639137,-0.9947404977786436,0.2,0.3,0.3,0.2,0.05,0.8,True,True,0.14110026880436433
0.6343814889318923,1.0177562188371954,0.004088293018964047,-0.027979433165277387,1.1545253056575786,0.75,-0.9980792607134378,-0.9957921525289853,0.1,0.3,0.2,0.1,0.05,0.8,True,True,0.12809566728853816
