alpha_rv,alpha_ivrv,k_lin,k_quad,yield_share_to_rt,max_utilization,score,lp_mean_%,rt_mean_%,rt_p5_%,m_amm_mean,strict_feasible,robust_feasible
0.2,0.2,0.2,0.2,0.1,0.8,-0.22825863155492776,0.27316103693262206,0.002915870072364377,-0.012296781435967673,0.75,True,True
0.1,0.2,0.3,0.2,0.05,0.7,-0.22999926090600203,0.27375524071490265,0.004085921935671166,-0.02164401985927512,0.75,True,True
0.1,0.2,0.2,0.2,0.1,0.6,-0.23586801042088906,0.26880167281266676,0.005389309358577805,-0.027842136159623016,0.75,True,True
0.1,0.2,0.1,0.2,0.05,0.7,-0.24036319328518962,0.2628520421279803,0.0006587846091853026,-0.010014442360480724,0.75,True,True
0.1,0.4,0.1,0.1,0.1,0.7,-0.24047898715338384,0.014040760938415395,0.0015436434892223965,-0.023109884912768247,0.8005743667372482,True,True
0.2,0.4,0.1,0.1,0.1,0.7,-0.24499489626451723,0.004340679800896633,0.0023527478467397314,-0.00870910263436403,0.8002649535144488,True,True
0.2,0.3,0.3,0.2,0.05,0.6,-0.26240936544126786,0.23866559200725737,0.005865179347566473,-0.020282931664012464,0.75,True,True
0.2,0.2,0.3,0.2,0.1,0.7,-0.2696690641673301,0.23064130393034604,0.00445257161224362,-0.014133635080921267,0.75,True,True
0.1,0.2,0.3,0.1,0.15,0.7,-0.2732263554538052,0.2342296402664572,0.0020561643421928423,-0.024808482327234534,0.75,True,True
0.2,0.3,0.2,0.2,0.05,0.7,-0.28307824019695055,0.21805887644966615,0.0075923164123593715,-0.02561974085361981,0.75,True,True
0.1,0.3,0.1,0.2,0.05,0.6,-0.28521304992972524,0.22415887261939194,0.0025100360144935207,-0.030959914416273528,0.75,True,True
0.1,0.4,0.3,0.1,0.15,0.7,-0.29277292623246903,0.21496651429232394,0.004480879443000077,-0.03279123964098268,0.75,True,True
0.3,0.2,0.2,0.2,0.05,0.6,-0.3397137023199754,0.15169100252024922,0.013457055890026643,-0.018882929770641453,0.75,True,True
0.1,0.4,0.2,0.1,0.1,0.6,-0.34496803481749927,0.16637878756178762,0.0007367736626730388,-0.030577376936236432,0.75,True,True
0.2,0.3,0.2,0.2,0.1,0.7,-0.34694188696196454,0.15082807576651236,0.009040571204428534,-0.02154662043447789,0.75,True,True
0.1,0.2,0.2,0.1,0.1,0.7,-0.3501175026396782,0.1579997265291471,0.002330337347909318,-0.027284084965791277,0.75,True,True
0.1,0.3,0.2,0.2,0.15,0.8,-0.35559316066731095,0.1494607891656456,0.003938838902167847,-0.024451391288894887,0.75,True,True
0.1,0.2,0.3,0.2,0.1,0.8,-0.35888883408416294,0.14857080579053356,0.002268721294354936,-0.025455263569806093,0.75,True,True
0.3,0.4,0.2,0.1,0.1,0.8,-0.3688541591042622,0.12962141707256322,0.005695188646779704,-0.013274506382402813,0.75,True,True
0.1,0.4,0.3,0.1,0.1,0.6,-0.3692875988257285,0.13264851407287664,0.0029310614292092033,-0.013633466534140432,0.75,True,True
0.2,0.2,0.3,0.1,0.05,0.7,-0.37024703346767374,0.13372765149019822,0.0035634856917660953,-0.02062716946997829,0.75,True,True
0.3,0.2,0.2,0.2,0.15,0.6,-0.37864576327096144,0.1205520986591708,0.003684620925357176,-0.009048517601402212,0.75,True,True
0.2,0.4,0.3,0.1,0.1,0.8,-0.379082605822214,0.11587793584062944,0.012217112593728579,-0.024052691938294287,0.75,True,True
0.3,0.3,0.2,0.1,0.1,0.7,-0.3829476718736905,0.11223463544784607,0.009904241987686274,-0.017668494266900304,0.75,True,True
0.1,0.3,0.2,0.1,0.15,0.8,-0.3891479923319038,0.11958725741834104,0.002936738481492136,-0.030648339820088456,0.75,True,True
0.1,0.3,0.1,0.2,0.05,0.7,-0.39109553432452265,0.1179250376231666,0.0014773544493580145,-0.026983493217297167,0.75,True,True
0.2,0.4,0.3,0.2,0.1,0.8,-0.39256468378926057,0.11025067480469453,0.00450504508402218,-0.020553531736954376,0.75,True,True
0.2,0.3,0.2,0.2,0.15,0.8,-0.3978333113733233,0.10174752964384043,0.00610051652469395,-0.017253652116991126,0.75,True,True
0.3,0.4,0.2,0.2,0.15,0.7,-0.40307614231655975,0.09969372741517088,0.001418235129813762,-0.011179379718767788,0.75,True,True
0.1,0.2,0.1,0.2,0.1,0.6,-0.4076747962697325,0.09322252249771293,0.004531437034867441,-0.01583760802321593,0.75,True,True
0.1,0.4,0.3,0.2,0.15,0.7,-0.4081875624549626,0.10195922478240577,0.0013209712188279985,-0.029329881749904946,0.75,True,True
0.2,0.3,0.1,0.2,0.05,0.6,-0.41230219210133157,0.09153298921348348,0.0021911201409304834,-0.016161313709828987,0.75,True,True
0.3,0.2,0.3,0.1,0.1,0.7,-0.4200458479473069,0.07758693048805528,0.00654530067298475,-0.01371784810735981,0.75,True,True
0.2,0.3,0.3,0.2,0.05,0.7,-0.42297362567138236,0.07441361889479371,0.0070882917585530615,-0.014732986691099376,0.75,True,True
0.1,0.3,0.3,0.1,0.05,0.6,-0.4314224100177332,0.07015917100090377,0.004749754073029395,-0.018203214765680507,0.75,True,True
0.2,0.4,0.1,0.2,0.1,0.7,-0.4316390244811889,0.061367134320422394,0.01206077015367024,-0.018697707465038942,0.75,True,True
0.1,0.2,0.2,0.1,0.05,0.7,-0.4325058768445103,0.07449176988672396,0.0018682573124718012,-0.023098888765501074,0.75,True,True
0.1,0.4,0.2,0.1,0.1,0.8,-0.4370640401407971,0.06693245923621886,0.0036228971167848742,-0.020859939792894543,0.75,True,True
0.1,0.4,0.2,0.1,0.05,0.7,-0.4429798780390089,0.07006077011487506,0.0036418840964668672,-0.04352727267411049,0.75,True,True
0.2,0.2,0.2,0.1,0.05,0.7,-0.44513605168200854,0.05889155475981603,0.00266006799744499,-0.018049220096896402,0.75,True,True
0.2,0.4,0.2,0.2,0.1,0.7,-0.44631608257400757,0.056903680646188975,0.004286992281691761,-0.02091038489556665,0.75,True,True
0.1,0.3,0.3,0.1,0.1,0.7,-0.4474637967695431,0.0584797821306309,0.003503284645269226,-0.025368801186242778,0.75,True,True
0.1,0.4,0.2,0.2,0.15,0.7,-0.4576268808795734,0.05013535804974863,0.00015772785528408865,-0.019878780889157382,0.75,True,True
0.2,0.4,0.3,0.2,0.05,0.8,-0.4581469650535145,0.043428380112659815,0.004161655874934714,-0.016423330540239905,0.75,True,True
0.2,0.3,0.2,0.1,0.15,0.7,-0.4593840318813194,0.04015398607528715,0.007732700923595398,-0.022043147662302424,0.75,True,True
0.3,0.3,0.2,0.1,0.15,0.7,-0.46121228416946486,0.03636388127880047,0.005440927763713225,-0.010263196911802951,0.75,True,True
0.1,0.3,0.3,0.2,0.15,0.8,-0.46139437103825426,0.05782985555079366,0.0018231925309518053,-0.05353014406547519,0.75,True,True
0.2,0.3,0.1,0.2,0.1,0.7,-0.46838144341368615,0.030907628423126214,0.009356859340102533,-0.02629325761233849,0.75,True,True
0.2,0.4,0.3,0.2,0.15,0.7,-0.4804625003157335,0.022967769125585298,0.001965605498842657,-0.014472490099824988,0.75,True,True
0.2,0.2,0.3,0.1,0.1,0.6,-0.49122808458787004,0.010516684207039202,0.003726236289138772,-0.015540630854689354,0.75,True,True
0.3,0.4,0.2,0.2,0.15,0.6,-0.49268486196259853,0.007115238211398461,0.0030384009877379684,-0.00861545339820643,0.75,True,True
