demand_mult,supply_mult,imbalance,m_amm,pressure_pct
1.3000000000000003,1.8000000000000003,-0.2777777777777778,0.9367283950617283,-6.327160493827167
1.3000000000000003,1.9000000000000004,-0.3157894736842105,0.9268698060941829,-7.31301939058171
1.3000000000000003,2.0000000000000004,-0.35,0.9177500000000001,-8.224999999999982
1.3000000000000003,2.1000000000000005,-0.38095238095238093,0.9092970521541951,-9.07029478458049
1.3000000000000003,2.2,-0.40909090909090895,0.9014462809917356,-9.855371900826437
1.4000000000000004,0.4,2.500000000000001,1.6,60.00000000000001
1.4000000000000004,0.5,1.8000000000000007,1.6,60.00000000000001
1.4000000000000004,0.6000000000000001,1.3333333333333335,1.4444444444444444,44.44444444444444
1.4000000000000004,0.7000000000000001,1.0000000000000004,1.3000000000000003,30.00000000000003
1.4000000000000004,0.8,0.7500000000000004,1.2062500000000003,20.62500000000005
1.4000000000000004,0.9000000000000001,0.5555555555555556,1.1419753086419753,14.197530864197528
1.4000000000000004,1.0,0.40000000000000036,1.096,9.600000000000009
1.4000000000000004,1.1,0.27272727272727315,1.0619834710743803,6.198347107438029
1.4000000000000004,1.2000000000000002,0.16666666666666674,1.0361111111111112,3.6111111111111205
1.4000000000000004,1.3000000000000003,0.0769230769230771,1.0159763313609467,1.5976331360946672
1.4000000000000004,1.4000000000000004,0.0,1.0,0.0
1.4000000000000004,1.5000000000000004,-0.06666666666666665,0.9862222222222222,-1.3777777777777667
1.4000000000000004,1.6,-0.12499999999999978,0.9734375000000001,-2.6562499999999822
1.4000000000000004,1.7000000000000002,-0.17647058823529393,0.9615916955017301,-3.840830449826993
1.4000000000000004,1.8000000000000003,-0.2222222222222222,0.9506172839506173,-4.938271604938271
1.4000000000000004,1.9000000000000004,-0.26315789473684204,0.9404432132963989,-5.9556786703601095
1.4000000000000004,2.0000000000000004,-0.29999999999999993,0.931,-6.899999999999995
1.4000000000000004,2.1000000000000005,-0.33333333333333326,0.9222222222222223,-7.777777777777772
1.4000000000000004,2.2,-0.3636363636363634,0.9140495867768597,-8.595041322314046
1.5000000000000004,0.4,2.750000000000001,1.6,60.00000000000001
1.5000000000000004,0.5,2.000000000000001,1.6,60.00000000000001
1.5000000000000004,0.6000000000000001,1.5000000000000004,1.5250000000000001,52.500000000000014
1.5000000000000004,0.7000000000000001,1.1428571428571432,1.3591836734693878,35.91836734693879
1.5000000000000004,0.8,0.8750000000000004,1.2515625000000001,25.156250000000014
1.5000000000000004,0.9000000000000001,0.6666666666666667,1.1777777777777778,17.777777777777782
1.5000000000000004,1.0,0.5000000000000004,1.1250000000000002,12.500000000000021
1.5000000000000004,1.1,0.363636363636364,1.0859504132231406,8.595041322314056
1.5000000000000004,1.2000000000000002,0.2500000000000002,1.0562500000000001,5.625000000000013
1.5000000000000004,1.3000000000000003,0.15384615384615397,1.0331360946745562,3.313609467455625
1.5000000000000004,1.4000000000000004,0.0714285714285714,1.014795918367347,1.479591836734695
